"","Index","Age","Gender","Education","Country","Ethnicity","Nscore","Escore","Oscore","Ascore","Cscore","Impulsive","SS","Alcohol","Amphet","Amyl","Benzos","Caff","Cannabis","Choc","Coke","Crack","Ecstasy","Heroin","Ketamine","Legalh","LSD","Meth","Mushrooms","Nicotine","Semer","VSA"
"871",871,"25-34","Female","Masters degree","USA","White",-0.67825,-0.43999,-0.01928,0.59042,-0.27607,-0.71126,-0.84637,"Used in Last Week","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Decade","Never Used","Never Used","Never Used","Never Used","Never Used","Used over a Decade Ago","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Never Used"
"872",872,"18-24","Female","Some college or university, no certificate or degree","UK","White",1.49158,-1.7625,0.14143,-0.76096,-2.42317,-0.71126,-2.07848,"Used in Last Month","Never Used","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"873",873,"25-34","Female","Masters degree","USA","White",0.22393,-1.09207,-0.58331,0.28783,-1.0145,0.52975,-0.21575,"Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Year","Used in Last Day","Never Used","Never Used"
"874",874,"18-24","Female","Some college or university, no certificate or degree","USA","Not Provided",0.73545,0.32197,1.43533,-0.01729,-0.78155,1.86203,1.92173,"Used in Last Week","Used in Last Day","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Week","Never Used","Never Used","Used in Last Month","Used in Last Week","Never Used","Used in Last Month","Used in Last Day","Never Used","Used in Last Year"
"875",875,"35-44","Male","Professional certificate/diploma","USA","Not Provided",1.23461,-2.11437,0.7233,-1.92595,-0.40581,2.90161,0.7654,"Used in Last Year","Used in Last Week","Used over a Decade Ago","Used in Last Decade","Used in Last Week","Used in Last Month","Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Month","Never Used","Used in Last Day","Used over a Decade Ago","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Never Used"
"876",876,"25-34","Male","Some college or university, no certificate or degree","Australia","White",-0.92104,0.47617,0.7233,0.43852,-2.18109,1.86203,1.92173,"Used in Last Week","Used in Last Year","Never Used","Never Used","Used in Last Week","Used in Last Month","Used in Last Day","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Decade","Used in Last Day","Never Used","Never Used","Never Used","Used in Last Decade","Never Used","Never Used"
"877",877,"18-24","Female","University degree","USA","White",-0.58016,1.45421,0.88309,-0.01729,0.12331,0.88113,0.40148,"Used in Last Week","Used in Last Year","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Year","Never Used","Used in Last Month","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Used in Last Week","Used in Last Week","Never Used","Never Used"
"878",878,"25-34","Male","Masters degree","USA","White",1.23461,0.00332,-0.31776,-0.15487,-0.14277,1.29221,0.7654,"Used in Last Day","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Year","Used in Last Decade","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Decade","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Never Used","Never Used"
"879",879,"18-24","Female","Left school before 16 years","USA","White",0.62967,-0.15487,0.88309,-0.45321,-1.38502,0.19268,1.92173,"Used in Last Week","Used in Last Month","Never Used","Used in Last Month","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Week","Never Used","Used in Last Week","Used in Last Month","Used in Last Month","Used in Last Month","Used in Last Month","Used in Last Month","Used in Last Month","Used in Last Week","Never Used","Used in Last Year"
"880",880,"35-44","Male","Some college or university, no certificate or degree","USA","White",1.60383,-1.09207,0.29338,-0.60633,-0.78155,1.86203,0.40148,"Used in Last Month","Used in Last Day","Used over a Decade Ago","Used in Last Decade","Used in Last Day","Used in Last Month","Used in Last Day","Used over a Decade Ago","Used in Last Week","Used over a Decade Ago","Used in Last Year","Never Used","Never Used","Used over a Decade Ago","Used in Last Day","Used over a Decade Ago","Used over a Decade Ago","Never Used","Used over a Decade Ago"
"881",881,"25-34","Female","Some college or university, no certificate or degree","USA","White",-1.1943,1.45421,1.24033,-0.91699,-0.14277,0.52975,1.2247,"Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Day","Used in Last Decade","Used in Last Week","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Year","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Decade"
"882",882,"18-24","Male","Some college or university, no certificate or degree","USA","White",0.04257,1.2861,0.7233,0.28783,-0.65253,0.19268,0.7654,"Used in Last Day","Used in Last Year","Never Used","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Month","Used in Last Year","Never Used","Used in Last Year","Used in Last Decade","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Decade","Used in Last Day","Never Used","Never Used"
"883",883,"18-24","Male","Some college or university, no certificate or degree","USA","Not Provided",1.49158,0.00332,0.29338,0.76096,-0.14277,-0.21712,0.7654,"Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Month","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Day","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Month"
"884",884,"25-34","Male","Some college or university, no certificate or degree","Other","White",1.02119,-2.72827,0.14143,-0.01729,-0.14277,0.19268,0.07987,"Used in Last Month","Used in Last Decade","Never Used","Used in Last Week","Used in Last Day","Used in Last Week","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Week","Used in Last Decade","Never Used","Used in Last Month","Used in Last Day","Never Used","Never Used"
"885",885,"18-24","Male","University degree","UK","White",0.41667,-0.43999,0.14143,-0.30172,-0.00665,0.88113,0.40148,"Used in Last Month","Never Used","Used in Last Year","Never Used","Used in Last Day","Used in Last Week","Used in Last Week","Never Used","Never Used","Used in Last Week","Never Used","Never Used","Used in Last Decade","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Never Used"
"886",886,"18-24","Male","University degree","UK","White",-0.46725,2.57309,0.7233,1.45039,0.12331,0.19268,1.2247,"Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Month","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Month","Never Used","Used in Last Month","Never Used","Used in Last Week","Used in Last Month","Used in Last Month","Never Used","Used in Last Month","Never Used","Never Used","Never Used"
"887",887,"18-24","Female","Some college or university, no certificate or degree","USA","White",-1.05308,1.45421,1.65653,1.81866,-0.78155,0.19268,-0.52593,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Week","Used in Last Day","Used in Last Month","Used in Last Decade","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Decade","Used in Last Year","Never Used","Used in Last Year","Used in Last Decade","Never Used","Never Used"
"888",888,"18-24","Female","Some college or university, no certificate or degree","USA","White",0.41667,0.80523,1.24033,1.11406,0.58489,-0.71126,0.07987,"Used in Last Week","Never Used","Never Used","Never Used","Used in Last Month","Used in Last Month","Used in Last Week","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Week","Never Used","Used in Last Year","Never Used","Never Used","Never Used"
"889",889,"18-24","Male","Some college or university, no certificate or degree","USA","Not Provided",0.13606,0.96248,1.06238,0.59042,0.58489,-0.71126,0.7654,"Used in Last Month","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Day","Used in Last Month","Used in Last Week","Used in Last Month","Never Used","Used in Last Month","Never Used","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Year","Used in Last Month","Never Used","Used in Last Year"
"890",890,"25-34","Male","Some college or university, no certificate or degree","Republic of Ireland","White",-1.55078,2.127,0.88309,-0.01729,0.93949,-0.21712,0.40148,"Used in Last Week","Used in Last Day","Used in Last Decade","Used in Last Day","Used in Last Day","Used in Last Week","Used in Last Week","Used in Last Month","Used in Last Decade","Used in Last Month","Used in Last Year","Used in Last Week","Never Used","Used in Last Year","Used in Last Year","Used in Last Month","Used in Last Day","Never Used","Used over a Decade Ago"
"891",891,"25-34","Male","Some college or university, no certificate or degree","Other","White",0.13606,-0.43999,-1.82919,-2.35413,-0.14277,0.52975,0.7654,"Used in Last Year","Used in Last Year","Never Used","Never Used","Used in Last Month","Used in Last Decade","Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Never Used","Used in Last Year","Never Used","Never Used"
"892",892,"25-34","Male","Some college or university, no certificate or degree","USA","White",1.02119,-1.50796,0.29338,-3.00537,-1.5184,1.29221,1.92173,"Used in Last Month","Used in Last Month","Used in Last Decade","Used in Last Month","Used in Last Day","Used in Last Month","Used in Last Month","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Decade","Used in Last Month","Used in Last Month","Used in Last Year","Used in Last Month","Used in Last Decade","Never Used","Used in Last Week"
"893",893,"25-34","Female","Left school at 17 years","UK","White",3.27393,-2.11437,-0.84732,-1.07533,-2.30408,0.52975,-1.18084,"Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Decade","Used in Last Day","Used in Last Year","Used in Last Month","Used in Last Decade","Never Used","Used in Last Decade","Used over a Decade Ago","Never Used","Used in Last Day","Never Used","Never Used","Used in Last Decade","Used in Last Decade","Never Used","Used in Last Year"
"894",894,"18-24","Male","Some college or university, no certificate or degree","Other","White",-1.43907,-1.7625,-0.01928,-2.35413,-0.27607,0.52975,0.7654,"Used in Last Week","Used in Last Year","Never Used","Used in Last Year","Used in Last Year","Used in Last Year","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Used in Last Year","Never Used","Used in Last Year","Used in Last Week","Never Used","Used in Last Decade"
"895",895,"18-24","Female","Professional certificate/diploma","UK","White",-1.86962,-0.30033,0.14143,0.13136,-0.65253,-0.71126,0.07987,"Used in Last Month","Used in Last Decade","Used in Last Year","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Never Used","Used in Last Year","Never Used","Used in Last Decade","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"896",896,"25-34","Male","Masters degree","USA","White",-0.79151,1.11406,-0.17779,0.13136,0.41594,-0.21712,0.07987,"Used in Last Week","Used in Last Month","Used in Last Year","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Day","Used in Last Year","Used in Last Decade","Used in Last Month","Never Used","Used in Last Year","Used in Last Month","Used in Last Week","Never Used","Used in Last Year","Used in Last Day","Never Used","Used in Last Decade"
"897",897,"25-34","Male","University degree","USA","White",1.8399,-0.30033,-0.45174,-0.45321,-1.0145,1.86203,1.92173,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Day","Used in Last Day","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Year","Never Used","Never Used","Never Used","Used in Last Day","Never Used","Never Used"
"898",898,"18-24","Female","Some college or university, no certificate or degree","USA","White",1.8399,-0.94779,-0.97631,-0.91699,-1.0145,2.90161,1.92173,"Used in Last Day","Never Used","Never Used","Never Used","Used in Last Day","Used in Last Month","Used in Last Month","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Never Used","Used in Last Month","Never Used","Used in Last Year"
